🕘️更新时间,#genre#
2025-04-18 06:39:04,https://raw.gitcode.com/yf1688/api/raw/main/videos/刘婉儿.mp4

🕺｜温馨提示,#genre#
🔥免费订阅,https://raw.gitcode.com/yf1688/api/raw/main/videos/刘婉儿.mp4
🥇精选电视直播源,https://raw.gitcode.com/yf1688/api/raw/main/videos/飞飞以飞飞.mp4
🌺公众号:风言锋语88,https://raw.gitcode.com/yf1688/api/raw/main/videos/海边日落晚霞.mp4

🐲｜央视频道,#genre#
CCTV1,https://cdn5.163189.xyz/live/cctv1/stream.m3u8
CCTV1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33
CCTV2,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225588
CCTV3,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226021
CCTV4,http://php.jdshipin.com:8880/bst2.php?id=cctv4k/15000000
CCTV5,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226019
CCTV5+,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225603
CCTV6,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226010
CCTV7,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225733
CCTV8,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226008
CCTV9,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225734
CCTV11,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226565
CCTV12,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225731
CCTV13,https://event.pull.hebtv.com/jishi/cp1.m3u8
CCTV13,http://jwplay.hebyun.com.cn/live/cctv13/1500k/tzwj_video.m3u8
CCTV13,https://ldncctvwbcdcnc.v.wscdns.com/ldncctvwbcd/cdrmldcctv13_1/index.m3u8
CCTV14,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225732
CCTV14,https://event.pull.hebtv.com/jishi/cp2.m3u8#rtsp://103.251.96.71/PLTV/88888888/224/3221225783/10000100000000060000000000726027_0.smil?icpid=SSPID&amp;accounttype=1&amp;limitflux=-1&amp;limitdur=-1&amp;accountinfo=:20240213104135
CCTV16,http://php.jdshipin.com:8880/bst2.php?id=cctv16hd4k/15000000
CCTV17,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225765

🦜｜卫视频道,#genre#
北京卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010143
湖南卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010058
湖北卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010057
东方卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010054
四川卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226338
浙江卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010070
浙江卫视,http://l.cztvcloud.com/channels/lantian/SXpinghu3/720p.m3u8
浙江卫视,http://zwebl02.cztv.com/live/channel011080P.m3u8?auth_key=2524708799-0-0-9a1229d8b9d311024ebea08c3fb1d63f
浙江卫视,http://ali-vl.cztv.com/channels/lantian/channel001/360p.m3u8?a=1000&amp;d=d396e340de48108a9576134d5b090354&amp;k=60ede3db45d8640ab1db2b9f0dfa7549&amp;t=1671539989
天津卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226459
安徽卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226391
重庆卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010053
深圳卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010068
广东卫视,http://php.jdshipin.com:8880/TVOD/gsyd.php?id=9900000520
广西卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226549
广西卫视,https://hlscdn.liangtv.cn/live/0c4ef3a44b934cacb8b47121dfada66c/d7e04258157b480dae53883cc6f8123b.m3u8
江苏卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010059
江西卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010060
山东卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010066
山东卫视,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
山西卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010114
山西卫视,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel7/playlist.m3u8
河北卫视,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010101
河北卫视,https://jwplay.hebyun.com.cn/live/hbwstv/1500k/tzwj_video.m3u8
